key,de,en,es,fr,it,ru,zh-hans
April,April,,Abril,Avril,Aprile,Апрель,四月
Are you sure you want to log out?,Willst du wirklich ausloggen?,Are you sure you want to leave?,¿Seguro que quieres cerrar sesión?,Êtes-vous sûr de vouloir vous déconnecter ?,Sei sicuro di voler uscire?,Вы уверены  что хотите выйти?,你确定要退出吗？
Aug.,Aug.,,,Août,Ago.,Авг.,八月
August,August,,Agosto,Août,Agosto,Август,八月
Back,Zurück,,Atrás,Retour,Indietro,Назад,返回
Be kind and respectful to other community members!,Sei nett und fair zu allen anderen!,,¡Sé amable y respetuoso con los demás!,Soyez gentil et respectueux avec les autres !,Sii gentile e rispettoso con gli altri membri della comunità!,Будь добр и уважителен к другим!,对其他社区成员要友好和尊重！
Big (8 byte) integer,Riesige (8 Byte) Zahl,,Número entero grande (8 bytes),Grand entier (8 octets),Numero intero grande (8 byte),Большое целое число (8 байт),大整数 (8 字节)
Boolean (Either True or False),Ja oder Nein (True oder False),,Booleano (Verdadero o Falso),Booléen (Vrai ou Faux),Booleano (Vero o Falso),Булево (Истина или Ложь),布尔值（真或假）
"Boolean (Either True, False or None)","Ja, Nein oder Nix",,Booleano (Verdadero  Falso o Nada),Booléen (Vrai  Faux ou Rien),Booleano (Vero  Falso o Niente),Булево (Истина  Ложь или Ничего),布尔值（真、假或无）
CSRF verification failed. Request aborted.,,,,,Verifica CSRF fallita! Richiesta interrotta.,Проверка CSRF не удалась. Запрос прерван.,CSRF 验证失败。请求已中止。
Cancel,Abbrechen,Never Mind,Cancelar,Annuler,Annulla,Отмена,取消
Cancel and return home,Abbrechen und zurück zur Startseite,"Never mind, take me home!",Cancelar y volver al inicio,Annuler et retourner à l'accueil,Annulla e torna a casa,Отмена и возврат на главную,取消并返回首页
Change,Ändern,Change,Cambiar,Modifier,Cambia,Изменить,修改
Change email,E-Mail ändern,Change email,Cambiar el email,Changer l'e-mail,Cambia Email,Изменить почту,修改电子邮箱
Change language,Sprache wechseln,,Cambiar idioma,Changer de langue,Cambia Lingua,Изменить язык,改变语言
Change password,Passwort änder,,Cambiar contraseña,Changer de mot de passe,Cambia Password,Изменить пароль,修改密码
Change profile,Profil ändern,,Cambiar el perfil,Modifier le profil,Cambia Profilo,Изменить профиль,更改档案
Circle,Kreis,,Círculo,Cercle,Cerchio,Круг,圆形
Clear,Löschen,,Borrar,Effacer,Cancella,Очистить,清除
Click the \\,Klick auf \\,,Haz clic en \\,Cliquez sur \\,Clicca sul pulsante \\,Нажми на \\,点击 \\
Comma-separated integers,Zahlen mit Kommas dazwischen,,Números separados por comas,Entiers séparés par des virgules,Numeri interi separati da virgole,Целые числа  разделённые запятыми,逗号分隔的整数
Comment (optional),"Kommentar (kannst du, musst du aber nicht)",,Comentario (opcional),Commentaire (facultatif),Commento (facoltativo),Комментарий (не обязательно),评论（可选）
Community Guidelines:,Unsere Regeln:,,Guía de la comunidad :,Règles de la communauté :,Regole della Comunità:,Правила сообщества:,社区准则：
Confirm new password,Neues Passwort nochmal,Type Your Secret Code Again,Confirma la nueva contraseña,Confirmez le nouveau mot de passe,Ripeti la Nuova Password,Подтвердите новый пароль,确认新密码
Confirm this action:,"Bestätige, dass du das wirklich willsdt:",,Confirma esta acción :,Confirmez cette action :,Conferma questa azione:,Подтвердите это действие:,确认此操作：
"Connect, get help, or contribute","Verbinde dich, hol Hilfe oder mach mit!",,Conéctate  pide ayuda o participa!,Connectez-vous  obtenez de l'aide ou contribuez!,"Connettiti, chiedi aiuto o contribuisci anche tu!",Подключайся  получай помощь или вноси свой вклад,连接、获取帮助或贡献
Constraint \\,,,,,Il vincolo \\,Ограничение \\,约束 \\
Constraint "%(name)s" is violated.,Regel "%(name)s" wurde gebrochen!,,La regla "%(name)s" fue violada.,La contrainte "%(name)s" est violée.,,Ограничение "%(name)s" нарушено.,约束 "%(name)s" 被违反。
Create,Erstellen,Create,Crear,Créer,Crea,Создать,创建
Create New Stone,Neuen Stein basteln,,Crear nueva piedra,Créer une nouvelle pierre,Crea Nuovo Sasso,Создать новый камень,创建新石头
Create an account,Konto erstellen,Create an account,Crear una cuenta,Créer un compte,Crea il Tuo Account,Создать учётную запись,创建账号
Currently,Jetzt,,Ahora,Actuellement,Attualmente,Сейчас,当前
Date (with time),Datum (mit Uhrzeit),,Fecha (con hora),Date (avec heure),Data (con ora),Дата (с временем),日期（含时间）
Date (without time),Datum (ohne Uhrzeit),,Fecha (sin hora),Date (sans heure),Data (senza ora),Дата (без времени),日期（不含时间）
Date out of range,,,,,Data fuori range!,Дата вне диапазона,日期超出范围
Dec.,Dez.,,,Déc.,Dic.,Дек.,十二月
December,Dezember,,Diciembre,Décembre,Dicembre,Декабрь,十二月
Decimal number,Zahl mit Komma,,Número decimal,Nombre décimal,Numero decimale,Десятичное число,十进制数
Delete,Löschen,,Eliminar,Supprimer,Cancella,Удалить,删除
Description,Beschreibung,,Descripción,Description,Descrizione,Описание,描述
Did you know:,Wusstest du schon:,,¿Sabías que:,Saviez-vous que :,Lo sapevi che:,Знаешь ли ты:,你知道吗：
Directory indexes are not allowed here.,Verzeichnislisten sind hier nicht erlaubt!,,Los índices de directorios no están permitidos aquí.,Les index de répertoires ne sont pas autorisés ici.,Gli elenchi delle cartelle non sono permessi qui!,Индексы директорий здесь не разрешены.,此处不允许目录索引。
Distance traveled (max),Reiseweg (größt),,Distancia recorrida (máx.),Distance parcourue (max),Distanza percorsa (massima),Пройденное расстояние (макс.),最远旅行距离
Distance traveled (min),Reiseweg (kleinst),,Distancia recorrida (mín.),Distance parcourue (min),Distanza percorsa (minima),Пройденное расстояние (мин.),最短旅行距离
Django Community,Django-Gang,,Comunidad Django,Communauté Django,La Comunità Django,Сообщество Django,Django 社区
Django Documentation,Django-Doku,,Documentación de Django,Documentation Django,Guida di Django,Документация Django,Django 文档
Django administration,,,Administración de Django,Administration de Django,Amministrazione Django,Администрация Джанго,Django 管理
Don't have an account?,Noch kein Konto?,New here?,¿No tienes cuenta?,Vous n'avez pas de compte ?,Non hai ancora un account?,Нет учётной записи?,还没有账号？
Don't place stones in protected areas or private property!,Leg keine Steine in Naturschutzgebiete oder auf Privatgrund!,,¡No pongas piedras en áreas protegidas o propiedades privadas!,Ne placez pas de pierres dans des zones protégées ou privées !,,Не размещай камни в заповедниках или на частной территории!,不要在保护区或私人财产上放置石头！
Don\\\\,,,,,Non,Не,别
Duration,,,,,Durata,Продолжительность,持续时间
Edit Profile,Mein Profil pimpen,,Editar perfil,Modifier le profil,Modifica Profilo,Редактировать профиль,编辑个人资料
Email,E-Mail,Email Address,E-mail,E-mail,Email,Почта,电子邮箱
Email address,E-Mail-Adresse,,Correo electrónico,Adresse e-mail,Indirizzo email,Электронная почта,电子邮件地址
Email change cancelled and reverted.,E-Mail-Änderung abgebrochen und zurückgesetzt.,,Cambio de correo cancelado y revertido.,Changement d'e-mail annulé et rétabli.,Cambio email annullato! Tutto come prima.,Изменение почты отменено и возвращено.,电子邮件更改已取消并恢复。
Email or Username,E-Mail oder Benutzername,Email or Your Cool Name,Correo o Nombre de usuario,E-mail ou Nom d'utilisateur,Email o Nome Utente,Почта или имя пользователя,电子邮箱或用户名
Email successfully changed.,E-Mail erfolgreich gewechselt!,,El correo se cambió con éxito.,E-mail modifié avec succès.,Email cambiata con successo!,Почта успешно изменена.,电子邮箱地址修改成功。
Empty list and \\,,,,,Lista vuota e \\,Пустой список и \\,空列表和 \\
Empty list and "%(class_name)s.allow_empty" is False.,Die Liste ist leer und „%(class_name)s.allow_empty" ist False!,,La lista está vacía y "%(class_name)s.allow_empty" es Falso.,La liste est vide et "%(class_name)s.allow_empty" est Faux.,,Список пуст и "%(class_name)s.allow_empty" равно Ложь.,列表为空且 "%(class_name)s.allow_empty" 为假。
English,Englisch,,Inglés,Anglais,Inglese,Английский,英语
Ensure this value is %(limit_value)s (it is %(show_value)s).,,,,,Questo valore deve essere %(limit_value)s (invece è %(show_value)s)!,Убедись  что значение равно %(limit_value)s (сейчас оно %(show_value)s).,确保此值是 %(limit_value)s（当前是 %(show_value)s）。
Ensure this value is a multiple of step size %(limit_value)s.,Der Wert muss ein Vielfaches von %(limit_value)s sein!,,El valor debe ser múltiplo de %(limit_value)s.,La valeur doit être un multiple de %(limit_value)s.,Questo valore deve essere un multiplo di %(limit_value)s!,Значение должно быть кратно %(limit_value)s.,此值必须是 %(limit_value)s 的倍数。
Ensure this value is greater than or equal to %(limit_value)s.,Der Wert muss %(limit_value)s oder größer sein!,,El valor debe ser mayor o igual a %(limit_value)s.,La valeur doit être supérieure ou égale à %(limit_value)s.,Questo valore deve essere maggiore o uguale a %(limit_value)s!,Значение должно быть больше или равно %(limit_value)s.,此值必须大于或等于 %(limit_value)s。
Ensure this value is less than or equal to %(limit_value)s.,Der Wert muss %(limit_value)s oder kleiner sein!,,El valor debe ser menor o igual a %(limit_value)s.,La valeur doit être inférieure ou égale à %(limit_value)s.,Questo valore deve essere minore o uguale a %(limit_value)s!,Значение должно быть меньше или равно %(limit_value)s.,此值必须小于或等于 %(limit_value)s。
Enter a complete value.,Gib einen vollständigen Wert ein!,,Ingresa un valor completo.,Entrez une valeur complète.,Inserisci un valore completo!,Введи полное значение!,输入一个完整的值！
Enter a list of values.,Gib eine Liste mit Werten ein!,,Ingresa una lista de valores.,Entrez une liste de valeurs.,Inserisci una lista di valori!,Введи список значений!,输入一个值列表！
Enter a number.,,,,,Scrivi un numero!,Введи число!,输入一个数字！
Enter a valid IPv4 address.,Gib eine richtige IPv4-Adresse ein!,,Ingresa una dirección IPv4 válida.,Entrez une adresse IPv4 valide.,Inserisci un indirizzo IPv4 valido!,Введи правильный адрес IPv4!,输入一个有效的 IPv4 地址！
Enter a valid IPv4 or IPv6 address.,Gib eine richtige IPv4- oder IPv6-Adresse ein!,,Ingresa una dirección IPv4 o IPv6 válida.,Entrez une adresse IPv4 ou IPv6 valide.,Inserisci un indirizzo IPv4 o IPv6 che funzioni!,Введи правильный адрес IPv4 или IPv6!,输入一个有效的 IPv4 或 IPv6 地址！
Enter a valid IPv6 address.,Gib eine richtige IPv6-Adresse ein!,,Ingresa una dirección IPv6 válida.,Entrez une adresse IPv6 valide.,Inserisci un indirizzo IPv6 valido!,Введи правильный адрес IPv6!,输入一个有效的 IPv6 地址！
Enter a valid JSON.,Gib richtiges JSON ein!,,Ingresa un JSON válido.,Entrez un JSON valide.,Inserisci un JSON valido!,Введи правильный JSON!,输入一个有效的 JSON！
Enter a valid URL.,Gib eine richtige Webadresse ein!,,Ingresa una URL válida.,Entrez une URL valide.,Inserisci un URL che funziona davvero!,Введи правильный URL!,输入一个有效的 URL！
Enter a valid UUID.,Gib eine richtige UUID ein!,,Ingresa un UUID válido.,Entrez un UUID valide.,Inserisci un UUID valido!,Введи правильный UUID!,输入一个有效的 UUID！
Enter a valid date.,Gib ein richtiges Datum ein!,,Ingresa una fecha válida.,Entrez une date valide.,Inserisci una data corretta!,Введи правильную дату!,输入一个有效的日期！
Enter a valid date/time.,Gib ein richtiges Datum und Uhrzeit ein!,,Ingresa una fecha/hora válida.,Entrez une date/heure valide.,Inserisci una data e un orario corretti!,Введи правильную дату и время!,输入一个有效的日期/时间！
Enter a valid duration.,Gib eine richtige Dauer ein!,,Ingresa una duración válida.,Entrez une durée valide.,Inserisci una durata valida!,Введи правильную продолжительность!,输入一个有效的持续时间！
Enter a valid email address.,,,,,Inserisci un indirizzo email che esiste!,Введи правильный адрес электронной почты!,输入一个有效的电子邮件地址！
Enter a valid integer.,Gib eine richtige Zahl ein!,,Ingresa un número entero válido.,Entrez un entier valide.,Inserisci un numero intero)|^,Введи целое число!,输入一个有效的整数！
Enter a valid time.,Gib eine richtige Uhrzeit ein!,,Ingresa una hora válida.,Entrez une heure valide.,Inserisci un orario giusto!,Введи правильное время!,输入一个有效的时间！
Enter a valid value.,,,,,Inserisci un valore che funziona!,Введи правильное значение!,输入一个有效的值！
Enter a whole number.,Gib eine ganze Zahl ein!,,,Entrez un nombre entier.,"Scrivi un numero intero, dai!",Введи целое число!,输入一个整数！
Enter only digits separated by commas.,"Gib nur Zahlen ein, mit Kommas dazwischen!",,,Entrez uniquement des chiffres séparés par des virgules.,Scrivi solo numeri separati dalle virgole!,Вводи только цифры  разделённые запятыми!,只输入逗号分隔的数字！
Feb.,Feb.,,,Févr.,Feb.,Фев.,二月
February,Februar,,Febrero,Février,Febbraio,Февраль,二月
Field of type: %(field_type)s,Feld vom Typ: %(field_type)s,,Campo de tipo: %(field_type)s,Champ de type : %(field_type)s,Campo di tipo: %(field_type)s,Поле типа: %(field_type)s,字段类型：%(field_type)s
File,Datei,,Archivo,Fichier,File,Файл,文件
File path,Dateipfad,,Ruta del archivo,Chemin du fichier,Percorso del file,Путь к файлу,文件路径
First name,,,Nombre,Nom,Nome,Имя,名字
Floating point number,Zahl mit Komma,,Número de punto flotante,Nombre à virgule,Numero con la virgola,Число с плавающей точкой,浮点数
Forbidden,,,,,Vietato,Запрещено,禁止
Foreign Key (type determined by related field),Fremdschlüssel (Typ hängt vom verknüpften Feld ab),,Clave foránea (tipo determinado por el campo relacionado),Clé étrangère (type déterminé par le champ lié),Chiave esterna (tipo determinato dal campo collegato),Внешний ключ (тип определяется связанным полем),外键（类型由相关字段决定）
Forgot your password?,Passwort vergessen?,Can't remember your secret code?,¿Olvidaste tu contraseña?,Mot de passe oublié ?,Hai dimenticato la password?,Забыли пароль?,忘记密码了吗？
Forgot your username?,Benutzernamen vergessen?,Forgot your cool name?,¿Olvidaste tu nombre de usuario?,Nom d'utilisateur oublié ?,Hai dimenticato il nome utente?,Забыли имя пользователя?,忘记了你的用户名？
Forum,Plauderecke,,Foro,Forum,Forum,Форум,论坛
French,Französisch,,Francés,Français,Francese,Французский,法语
Fri,Fr,,,Vend.,Ven,Пт,星期五
Friday,Freitag,,Viernes,Vendredi,Venerdì,Пятница,星期五
German,Deutsch,,,,Tedesco,Немецкий,德语
Get started with Django,Leg los mit Django!,,Comienza con Django,Commencez avec Django,Inizia la tua avventura con Django!,Начни с Django!,开始使用 Django！
Glue the custom QR code on the back of the stone.,Klebe den speziellen QR-Code hinten auf den Stein.,,Pega el código QR especial en la parte trasera de la piedra.,Collez le code QR spécial à l'arrière de la pierre.,Incolla il codice QR speciale sul retro del sasso.,Приклей специальный QR-код на заднюю часть камня.,将定制的二维码粘在石头的背面。
"Hidden (no location, must be found by scanning)","Versteckt (kein Ort, muss gescannt werden)",,Oculto (sin ubicación  debe encontrarse escaneando),Caché (pas de position  doit être scanné),Nascosto (senza posizione  va trovato scansionando),Скрытый (без местоположения  должен быть найден сканированием),隐藏（无位置，需通过扫描找到）
Home,,,Inicio,Accueil,Casa,Главная,首页
How it works:,So geht's:,,Cómo funciona:,Comment ça marche :,Come funziona:,Как это работает:,它是如何工作的：
"Hunted (placed at a location, must be found at that spot)","Gejagt (an einem Ort, muss dort gefunden werden)",,Cazado (colocado en un lugar  debe encontrarse allí),Chassé (placé à un endroit  doit être trouvé là),Da Cacciare (messo in un posto preciso  va trovato lì),Охота (размещён в определённом месте  должен быть найден там),狩猎（放置在某个位置，必须在那里找到）
I found a stone,Ich hab einen Stein gefunden!,,¡Encontré una piedra!,J'ai trouvé une pierre !,,Я нашёл камень!,我找到了一块石头！
IP address,IP-Adresse,,Dirección IP,Adresse IP,Indirizzo IP,IP-адрес,IP 地址
IPv4 address,IPv4-Adresse,,Dirección IPv4,Adresse IPv4,Indirizzo IPv4,IPv4-адрес,IPv4 地址
Image,Bild,,Imagen,Image,Immagine,Изображение,图片
Index of %(directory)s,Inhalt von %(directory)s,,Índice de %(directory)s,Index de %(directory)s,Contenuto di %(directory)s,Индекс %(directory)s,目录 %(directory)s 的索引
Integer,Ganze Zahl,,Número entero,Entier,Numero intero,Целое число,整数
Invalid date string \\,,,,,Data non valida \\,Недействительная строка даты \\,无效的日期字符串 \\
Invalid date string "%(datestr)s" given format "%(format)s",Das Datum „%(datestr)s" passt nicht zum Format „%(format)s"!,,La fecha "%(datestr)s" no coincide con el formato "%(format)s".,La date "%(datestr)s" ne correspond pas au format "%(format)s".,,Недействительная строка даты "%(datestr)s" для формата "%(format)s".,日期字符串 "%(datestr)s" 与格式 "%(format)s" 不匹配。
Invalid page (%(page_number)s): %(message)s,Falsche Seite (%(page_number)s): %(message)s,,Página inválida (%(page_number)s): %(message)s,Page invalide (%(page_number)s) : %(message)s,Pagina sbagliata (%(page_number)s): %(message)s!,Недействительная страница (%(page_number)s): %(message)s,无效页面 (%(page_number)s)：%(message)s
Italian,,,,,Italiano,Итальянский,意大利语
Jan.,Jan.,,,Janv.,Gen.,Янв.,一月
January,Januar,,Enero,Janvier,Gennaio,Январь,一月
July,Juli,,Julio,Juillet,Luglio,Июль,七月
June,Juni,,Junio,Juin,Giugno,Июнь,六月
Last name,,,Apellido,Prénom,Cognome,Фамилия,姓
Latitude,Breitengrad,,Latitud,Latitude,Latitudine,Широта,纬度
Learn More,Mehr erfahren,,Saber más,En savoir plus,Scopri di Più,Узнать больше,了解更多
Log In,,,,,Entra,Вход,登录
Log in,Einloggen,Log in,Iniciar sesión,Se connecter,Entra,Вход,登录
Log in again,Nochmal einloggen,Come Back Soon!,Iniciar sesión nuevamente,Se reconnecter,Entra di Nuovo,Войти повторно,再次登录
Log out,Ausloggen,Log out,Cerrar sesión,Se déconnecter,Esci,Выйти,登出
Logged out,Ausgeloggt,See You Later!,Cerrar sesión,Déconnecté,Sei Uscito!,Выход,登出
Longitude,Längengrad,,Longitud,Longitude,Longitudine,Долгота,经度
MY INTERACTIONS,Meine Abenteuer,,MIS INTERACCIONES,MES INTERACTIONS,Le Mie INTERAZIONI,МОИ ВЗАИМОДЕЙСТВИЯ,我的互动
Many-to-many relationship,Viele-zu-viele-Beziehung,,Relación muchos a muchos,Relation plusieurs à plusieurs,Relazione molti-a-molti,Отношение многие ко многим,多对多关系
March,März,,Marzo,Mars,Marzo,Март,三月
Marker Color,Marker-Farbe,,Color del marcador,Couleur du marqueur,Colore del Marcatore,Цвет маркера,标记颜色
Marker Shape,Marker-Form,,Forma del marcador,Forme du marqueur,Forma del Marcatore,Форма маркера,标记形状
May,Mai,,Mayo,Mai,Maggio,Май,五月
Messages,,,,,Messaggi,Сообщения,消息
Mon,Mo,,,Lun.,Lun,Пн,星期一
Monday,Montag,,Lunes,Lundi,Lunedì,Понедельник,星期一
More information is available with DEBUG=True.,,,,,Più informazioni sono disponibili con DEBUG=True!,Больше информации доступно с DEBUG=True.,更多信息在 DEBUG=True 时可用。
My CREATIONS,Meine Kunstwerke,,MIS CREACIONES,MES CRÉATIONS,Le Mie CREAZIONI,МОИ ТВОРЕНИЯ,我的创作
My Stones,Meine Steine,,Mis piedras,Mes pierres,I Miei Sassi,Мои камни,我的石头
New password,Neues Passwort,New Secret Code,Nueva contraseña,Nouveau mot de passe,Nuova Password Segreta,Новый пароль,新密码
Next,Weiter,Next,Siguiente,Suivant,Avanti,Дальше,下一步
Next page,Nächste Seite,,Página siguiente,Page suivante,Pagina successiva,Следующая страница,下一页
No,Nein,,No,Non,No,Нет,否
No %(verbose_name)s found matching the query,"Kein %(verbose_name)s gefunden, das passt!",,No se encontró %(verbose_name)s que coincida.,Aucun %(verbose_name)s correspondant trouvé.,Nessun %(verbose_name)s trovato per la tua ricerca!,Не найдено %(verbose_name)s  соответствующего запросу.,没有找到匹配的 %(verbose_name)s。
No %(verbose_name_plural)s available,Keine %(verbose_name_plural)s da!,,No hay %(verbose_name_plural)s disponibles.,Aucun %(verbose_name_plural)s disponible.,Nessun %(verbose_name_plural)s disponibile!,Нет доступных %(verbose_name_plural)s.,没有可用的 %(verbose_name_plural)s。
No day specified,Kein Tag angegeben!,,No se especificó un día.,Aucun jour spécifié.,,Не указан день.,未指定日期。
No file was submitted.,Du hast keine Datei hochgeladen!,,No se envió ningún archivo.,Aucun fichier soumis.,Nessun file caricato!,Файл не отправлен.,没有提交文件。
No file was submitted. Check the encoding type on the form.,Keine Datei hochgeladen! Überprüf den Codierungstyp im Formular.,,No se envió ningún archivo. Revisa el tipo de codificación del formulario.,Aucun fichier soumis. Vérifiez le type d'encodage du formulaire.,Nessun file caricato! Controlla le impostazioni del modulo.,Файл не отправлен. Проверь тип кодировки формы.,没有提交文件。请检查表单的编码类型。
No month specified,Kein Monat angegeben!,,No se especificó un mes.,Aucun mois spécifié.,Nessun mese specificato!,Не указан месяц.,未指定月份。
No pending email change to cancel.,Keine E-Mail-Änderung zum Abbrechen da.,,No hay cambio de correo para cancelar.,Aucun changement d'e-mail à annuler.,Non c'è nessun cambio email da annullare!,Нет изменений почты для отмены.,没有待取消的电子邮件更改。
No pending email confirmation to resend.,Keine E-Mail-Bestätigung zum erneuten Senden da.,,No hay confirmación de correo para reenviar.,Aucune confirmation d'e-mail à renvoyer.,Non c'è nessuna email da confermare!,Нет подтверждения почты для повторной отправки.,没有待重新发送的电子邮件确认。
No week specified,Keine Woche angegeben!,,No se especificó una semana.,Aucune semaine spécifiée.,Nessuna settimana specificata!,Не указана неделя.,未指定周。
No year specified,Kein Jahr angegeben!,,No se especificó un año.,Aucune année spécifiée.,Nessun anno specificato!,Не указан год.,未指定年份。
Nov.,Nov.,,,Nov.,Nov.,Нояб.,十一月
November,November,,Noviembre,Novembre,Novembre,Ноябрь,十一月
Null characters are not allowed.,Nichts-Zeichen sind verboten!,,No se permiten caracteres nulos.,Les caractères nuls ne sont pas autorisés.,I caratteri null non sono permessi!,Нулевые символы не разрешены.,不允许空字符。
Number of moves (max),Anzahl der Reisen (größt),,Número de movimientos (máx.),Nombre de mouvements (max),Numero di spostamenti (massimo),Максимальное количество перемещений,最大移动次数
Number of moves (min),Anzahl der Reisen (kleinst),,Número de movimientos (mín.),Nombre de mouvements (min),Numero di spostamenti (minimo),Минимальное количество перемещений,最小移动次数
Oct.,Okt.,,,Oct.,Ott.,Окт.,十月
October,Oktober,,Octubre,Octobre,Ottobre,Октябрь,十月
Oldest,Ältesten,,Más antiguo,Le plus ancien,Più Vecchio,Самый старый,最早的
One-to-one relationship,Eins-zu-eins-Beziehung,,Relación uno a uno,Relation un à un,Relazione uno-a-uno,Отношение один к одному,一对一关系
Order,Reihenfolge,,Orden,Ordre,Ordine,Порядок,顺序
PM,Nachmittags,,Tarde,Après-midi,POM,Вечер,下午
Page is not \\,,,,,La pagina non è \\,Страница не \\,页面不是 \\
Password,Passwort,Secret Code,Contraseña,Mot de passe,Password Segreta,Пароль,密码
Passwords do not match.,Die Passwörter passen nicht zusammen!,Your secret codes don't match! Make sure you type the same thing twice.,¡Las contraseñas no coinciden!,Les mots de passe ne correspondent pas !,Le due password non sono uguali! Controlla bene!,Пароли не совпадают!,密码不匹配！
Photo (optional),"Foto (kannst du, musst du aber nicht)",,Foto (opcional),Photo (facultatif),Foto (facoltativa),Фото (не обязательно),照片（可选）
Pick up a brush and paint a stone.,Schnapp dir einen Pinsel und bemal einen Stein!,,¡Toma un pincel y pinta una piedra!,Prenez un pinceau et peignez une pierre.,Prendi un pennello e dipingi un sasso!,Возьми кисть и раскрась камень!,拿起画笔，给石头涂上颜色！
Picture,Bild,,Foto,Photo,Foto,Фотография,图片
"Please correct the duplicate data for %(field)s, which must be unique.",,,,,"Correggi i dati duplicati per %(field)s, che deve essere unico!",Исправь дублирующиеся данные для %(field)s  они должны быть уникальными!,请更正 %(field)s 的重复数据，它必须是唯一的！
